Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
118048;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
119692;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
120188;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
124545;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
125185;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
125945;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
127741;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
129395;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
130509;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
132735;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
132989;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
137536;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
139684;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
139839;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
141548;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
142280;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
145753;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
151399;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
151630;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
153969;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
154374;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
154827;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
156568;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
161469;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
162809;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
170831;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
171215;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
172618;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
173889;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
174052;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
175741;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
176407;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
178702;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
179504;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
181450;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
183453;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
184989;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
185886;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
187858;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
189162;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
191375;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
195178;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
198052;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
200508;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
202818;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
204400;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
208218;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
210052;POLICY3_CLOUD;TASK_CANCELED;1245128;257132;51282;64010;1224866
210956;POLICY3_CLOUD;TASK_CONCLUDED;989285;257132;71428;64010;1024221
