Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
24981;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25199;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25328;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25422;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27445;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29899;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30619;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
30791;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36120;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36745;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37164;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37962;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37995;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38126;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38469;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38543;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
39626;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39783;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
39892;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41970;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42691;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45432;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46151;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
46475;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
47528;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48021;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
48324;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
49326;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49500;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49692;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
49776;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
53109;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
53147;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
53336;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
54108;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
54383;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
54649;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
56120;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
58069;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
58929;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
60096;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
61066;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
62792;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63462;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63920;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63933;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
65251;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66498;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66923;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67117;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67482;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
67739;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69241;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
70242;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
70376;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
73227;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
74665;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
75610;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
75727;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
76264;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
78743;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
80333;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
80427;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
80832;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
84544;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
84776;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
84890;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
85421;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
86085;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
86124;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
87368;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
91173;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
92239;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
93000;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
93728;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
93762;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
95062;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
96069;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
97903;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
99737;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
100215;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
102315;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
103308;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
104554;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
106121;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
106389;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
107725;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
109167;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
111101;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
112200;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
